amount,category,date,note
1200,Food,2025-10-02,Red Vine
800,Food,2025-10-05,snacks
2000,Groceries,2025-10-10,Dairy
950,Transport,2025-10-20,Local travel
5000,Health,2025-11-01,Medicine
3500,Transport,2025-11-01,Papers
20000,Rent,2025-11-02,House
300,Food,2025-11-03,Snacks
600,Entertainment,2025-11-15,Movie
2500,Utilities,2025-11-28,Electricity bill
1500,Education,2025-12-01,Books
1100,Food,2025-12-05,Dinner with friends
4000,Health,2025-12-15,Clinic visit
3000,Transport,2025-12-30,Lahore trip
1230,Food,2025-12-31,Had Expensive Chai
